question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
137,single,労働衛生,演習;労働衛生,糖尿病に関する次の記述のうち、正しいものはどれか。,,,,,,糖尿病は、インスリンの作用不足により慢性的に血糖値が高くなる疾患であり、三大合併症として網膜症・腎症・神経障害がある。,2型糖尿病は、生活習慣とは無関係に発症する自己免疫疾患である。,糖尿病の指標HbA1cは、直近1〜2日の血糖値を反映する。,糖尿病の治療は薬物療法のみで食事・運動療法は不要である。,血糖値が高くても症状がなければ健康上の問題はない。,1,正答は1。糖尿病はインスリン作用不足による慢性高血糖状態であり、三大合併症（網膜症・腎症・神経障害）のほか動脈硬化性疾患等のリスクも高まる。(1)の記述は正しい。(3)HbA1cは過去1〜2か月の平均血糖値を反映する指標、(2)2型糖尿病は遺伝的素因に加え食事・運動・肥満等の生活習慣が関与する。,正答は1。糖尿病はインスリン作用不足による慢性高血糖状態であり、三大合併症（網膜症・腎症・神経障害）のほか動脈硬化性疾患等のリスクも高まる。(1)の記述は正しい。(3)HbA1cは過去1〜2か月の平均血糖値を反映する指標、(2)2型糖尿病は遺伝的素因に加え食事・運動・肥満等の生活習慣が関与する。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） (1)の記述は正しい。,2:（2）2型糖尿病は遺伝的素因に加え食事・運動・肥満等の生活習慣が関与する;3:（3）「糖尿病の指標HbA1cは、直近1〜2日の血糖値を反映する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「糖尿病は、インスリンの作用不足により慢性的に血糖値が高くなる疾患であり、三大合併症として網膜症・腎症・神経障害がある。」です。問題文の条件（糖尿病に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）の内容は、正答（1）「糖尿病は、インスリンの作用不足により慢性的に血糖値が高くなる疾患であり、三大合併症として網膜症・腎症・神経障害が…」が示す論点とずれています。 解説の要点：正答は1。糖尿病はインスリン作用不足による慢性高血糖状態であり、三大合併症（網膜症・腎症・神経障害）のほか動脈硬化性疾患等のリスクも高まる。(1)の記述は正しい。(3)HbA1cは過去1〜2か月の平均血糖値を反映する指標、(2)2型糖尿病は遺伝的素因に加え食事・運動・肥満等の生活… 正答（1）との違いを確認し直してください。;5:（5）の内容は、正答（1）「糖尿病は、インスリンの作用不足により慢性的に血糖値が高くなる疾患であり、三大合併症として網膜症・腎症・神経障害が…」が示す論点とずれています。 解説の要点：正答は1。糖尿病はインスリン作用不足による慢性高血糖状態であり、三大合併症（網膜症・腎症・神経障害）のほか動脈硬化性疾患等のリスクも高まる。(1)の記述は正しい。(3)HbA1cは過去1〜2か月の平均血糖値を反映する指標、(2)2型糖尿病は遺伝的素因に加え食事・運動・肥満等の生活… 正答（1）との違いを確認し直してください。,
138,single,労働衛生,演習;労働衛生,心肺蘇生法（CPR）に関する次の記述のうち、正しいものはどれか。,,,,,,胸骨圧迫は、胸が約5cm沈む強さで1分間に100〜120回のテンポで行う。,胸骨圧迫は、できるだけゆっくり1分間に20回程度で行う。,傷病者に呼吸がある場合も、直ちに胸骨圧迫を開始しなければならない。,AEDは、電気ショック後は使用を終了し、以後の心肺蘇生は行わない。,心肺蘇生は、医師・救急救命士以外は実施してはならない。,1,正答は1。胸骨圧迫は胸骨の下半分に手を重ねて当て、胸が約5cm沈む強さで1分間に100〜120回のテンポで行うことが推奨されており、(1)の記述は正しい。(4)電気ショック後も音声メッセージに従い胸骨圧迫を再開する、(5)市民でも心肺蘇生・AED使用を実施することが推奨されている。,正答は1。胸骨圧迫は胸骨の下半分に手を重ねて当て、胸が約5cm沈む強さで1分間に100〜120回のテンポで行うことが推奨されており、(1)の記述は正しい。(4)電気ショック後も音声メッセージに従い胸骨圧迫を再開する、(5)市民でも心肺蘇生・AED使用を実施することが推奨されている。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 胸骨圧迫は胸骨の下半分に手を重ねて当て、胸が約5cm沈む強さで1分間に100〜120回のテンポで行うことが推奨されており、(1)の記述は正しい。,2:（2）の内容は、正答（1）「胸骨圧迫は、胸が約5cm沈む強さで1分間に100〜120回のテンポで行う。」が示す論点とずれています。 解説の要点：正答は1。胸骨圧迫は胸骨の下半分に手を重ねて当て、胸が約5cm沈む強さで1分間に100〜120回のテンポで行うことが推奨されており、(1)の記述は正しい。(4)電気ショック後も音声メッセージに従い胸骨圧迫を再開する、(5)市民でも心肺蘇生・AED使用を実施することが推奨されている… 正答（1）との違いを確認し直してください。;3:解説では「(4)電気ショック後も音声メッセージに従い胸骨圧迫を再開する、(5)市民でも心肺蘇生・AED使用を実施することが推奨されている。」とある一方、（3）の記述はそれと矛盾します。 解説の要点：正答は1。胸骨圧迫は胸骨の下半分に手を重ねて当て、胸が約5cm沈む強さで1分間に100〜120回のテンポで行うことが推奨されており、(1)の記述は正しい。(4)電気ショック後も音声メッセージに従い胸骨圧迫を再開する、(5)市民でも心肺蘇生・AED使用を実施することが推奨されている… 正答（1）との違いを確認し直してください。;4:（4）「AEDは、電気ショック後は使用を終了し、以後の心肺蘇生は行わない。」は、作業主任者の選任が必要な作業の組合せ（）を含んでいません。解説のとおり、該当作業と非該当作業の区別を確認してください。 （4）電気ショック後も音声メッセージに従い胸骨圧迫を再開する;5:（5）「心肺蘇生は、医師・救急救命士以外は実施してはならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「胸骨圧迫は、胸が約5cm沈む強さで1分間に100〜120回のテンポで行う。」です。問題文の条件（心肺蘇生法（CPR）に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
139,single,労働衛生,演習;労働衛生,腰痛の発生要因に関する次の記述のうち、正しいものはどれか。,,,,,,腰痛の発生には、作業姿勢・腰部への力学的負担・個人要因・心理社会的要因などが関与することがある。,腰痛は、重量物取扱い作業でのみ発生し、情報機器作業では発生しない。,腰痛の予防には、腰部への負担を増大させる作業姿勢を積極的に取ることが有効である。,腰痛は、一度発症すると再発することはない。,腰痛予防対策として、ストレッチや腰痛予防体操は効果がないとされている。,1,正答は1。腰痛は身体的要因（重量物取扱い・不良姿勢・長時間同一姿勢等）・個人要因・心理社会的要因（ストレス等）が複合的に関与して発生することがあり、(1)の記述は正しい。(2)情報機器作業等の長時間座位作業でも腰痛が発生する、(5)適切なストレッチ・体操は腰痛予防に有効とされている。,正答は1。腰痛は身体的要因（重量物取扱い・不良姿勢・長時間同一姿勢等）・個人要因・心理社会的要因（ストレス等）が複合的に関与して発生することがあり、(1)の記述は正しい。(2)情報機器作業等の長時間座位作業でも腰痛が発生する、(5)適切なストレッチ・体操は腰痛予防に有効とされている。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 腰痛は身体的要因（重量物取扱い・不良姿勢・長時間同一姿勢等）・個人要因・心理社会的要因（ストレス等）が複合的に関与して発生することがあり、(1)の記述は正しい。,2:（2）「腰痛は、重量物取扱い作業でのみ発生し、情報機器作業では発生しない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「腰痛の発生には、作業姿勢・腰部への力学的負担・個人要因・心理社会的要因などが関与することがある。」です。問題文の条件（腰痛の発生要因に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）の内容は、正答（1）「腰痛の発生には、作業姿勢・腰部への力学的負担・個人要因・心理社会的要因などが関与することがある。」が示す論点とずれています。 解説の要点：正答は1。腰痛は身体的要因（重量物取扱い・不良姿勢・長時間同一姿勢等）・個人要因・心理社会的要因（ストレス等）が複合的に関与して発生することがあり、(1)の記述は正しい。(2)情報機器作業等の長時間座位作業でも腰痛が発生する、(5)適切なストレッチ・体操は腰痛予防に有効とされてい… 正答（1）との違いを確認し直してください。;4:解説では「(2)情報機器作業等の長時間座位作業でも腰痛が発生する、(5)適切なストレッチ・体操は腰痛予防に有効とされている。」とある一方、（4）の記述はそれと矛盾します。 解説の要点：正答は1。腰痛は身体的要因（重量物取扱い・不良姿勢・長時間同一姿勢等）・個人要因・心理社会的要因（ストレス等）が複合的に関与して発生することがあり、(1)の記述は正しい。(2)情報機器作業等の長時間座位作業でも腰痛が発生する、(5)適切なストレッチ・体操は腰痛予防に有効とされてい… 正答（1）との違いを確認し直してください。;5:（5）適切なストレッチ・体操は腰痛予防に有効とされている 選択肢（5）「腰痛予防対策として、ストレッチや腰痛予防体操は効果がないとされている。」は本問の正答（1）とは異なるため不適です。,
140,single,労働衛生,演習;労働衛生,熱中症発症時の救急処置に関する次の記述のうち、適切なものはどれか。,,,,,,意識がある場合は、涼しい場所に移動させ、水分・塩分の補給を行い、体を冷やす等の処置を行う。,熱中症が疑われる場合でも、症状が軽ければ作業を継続させても問題ない。,意識障害がある熱中症患者に、無理やり水を飲ませる。,熱中症患者の体を冷やす際は、衣服を脱がせず厚手の毛布で包む。,熱中症の救急処置は、医師以外は一切行ってはならない。,1,正答は1。意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。(3)意識障害がある場合の経口補給は誤嚥のリスクがあり禁忌、(4)体を冷やすために衣服を緩め冷却することが重要。,正答は1。意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。(3)意識障害がある場合の経口補給は誤嚥のリスクがあり禁忌、(4)体を冷やすために衣服を緩め冷却することが重要。,（1）の記述は適切 意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。,2:解説では「意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。」とある一方、（2）の記述はそれと矛盾します。 解説の要点：正答は1。意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。(3)意識障害がある場合の経口補給は誤嚥のリスクがあり禁忌、(4)体を冷やすために衣服を緩め冷却すること… 正答（1）との違いを確認し直してください。;3:（3）意識障害がある場合の経口補給は誤嚥のリスクがあり禁忌 この記述は本問の正答ではありません。;4:（4）「熱中症患者の体を冷やす際は、衣服を脱がせず厚手の毛布で包む。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「意識がある場合は、涼しい場所に移動させ、水分・塩分の補給を行い、体を冷やす等の処置を行う。」です。問題文の条件（熱中症発症時の救急処置に関する次の記述のうち、適切なものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:解説では「意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。」とある一方、（5）の記述はそれと矛盾します。 解説の要点：正答は1。意識のある熱中症患者への応急処置として、涼しい場所への移動・衣服の緩め・体の冷却（首・腋窩・鼠径部への冷却等）・水分・塩分の経口補給が基本であり、(1)の記述は適切。(3)意識障害がある場合の経口補給は誤嚥のリスクがあり禁忌、(4)体を冷やすために衣服を緩め冷却すること… 正答（1）との違いを確認し直してください。,
141,single,労働生理,演習;労働生理,消化・吸収に関する次の記述のうち、正しいものはどれか。,,,,,,栄養素の消化・吸収は主に小腸で行われ、絨毛を通じてアミノ酸・ブドウ糖・脂肪酸等が吸収される。,食物中のでんぷんは、胃の中でペプシンによって消化される。,脂肪の消化には、唾液アミラーゼが主に関与する。,大腸では消化酵素が大量に分泌されて栄養素の最終消化が行われる。,水分は主に胃で吸収される。,1,正答は1。栄養素の消化・吸収は主に小腸で行われ、小腸の絨毛からアミノ酸・単糖・脂肪酸等が吸収されて体内に取り込まれる。(1)の記述は正しい。(2)でんぷんはアミラーゼ（唾液・膵液）によって消化される、(5)水分は主に小腸・大腸で吸収される。,正答は1。栄養素の消化・吸収は主に小腸で行われ、小腸の絨毛からアミノ酸・単糖・脂肪酸等が吸収されて体内に取り込まれる。(1)の記述は正しい。(2)でんぷんはアミラーゼ（唾液・膵液）によって消化される、(5)水分は主に小腸・大腸で吸収される。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 栄養素の消化・吸収は主に小腸で行われ、小腸の絨毛からアミノ酸・単糖・脂肪酸等が吸収されて体内に取り込まれる。 (1)の記述は正しい。,2:(2)でんぷんはアミラーゼ（唾液・膵液）によって消化される、(5)水分は主に小腸・大腸で吸収される。;3:（3）の内容は、正答（1）「栄養素の消化・吸収は主に小腸で行われ、絨毛を通じてアミノ酸・ブドウ糖・脂肪酸等が吸収される。」が示す論点とずれています。 解説の要点：正答は1。栄養素の消化・吸収は主に小腸で行われ、小腸の絨毛からアミノ酸・単糖・脂肪酸等が吸収されて体内に取り込まれる。(1)の記述は正しい。(2)でんぷんはアミラーゼ（唾液・膵液）によって消化される、(5)水分は主に小腸・大腸で吸収される。 正答（1）との違いを確認し直してください。;4:（4）の内容は、正答（1）「栄養素の消化・吸収は主に小腸で行われ、絨毛を通じてアミノ酸・ブドウ糖・脂肪酸等が吸収される。」が示す論点とずれています。 解説の要点：正答は1。栄養素の消化・吸収は主に小腸で行われ、小腸の絨毛からアミノ酸・単糖・脂肪酸等が吸収されて体内に取り込まれる。(1)の記述は正しい。(2)でんぷんはアミラーゼ（唾液・膵液）によって消化される、(5)水分は主に小腸・大腸で吸収される。 正答（1）との違いを確認し直してください。;5:（5）「水分は主に胃で吸収される。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「栄養素の消化・吸収は主に小腸で行われ、絨毛を通じてアミノ酸・ブドウ糖・脂肪酸等が吸収される。」です。問題文の条件（消化・吸収に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
142,single,労働生理,演習;労働生理,リンパ系に関する次の記述のうち、正しいものはどれか。,,,,,,リンパ管は、組織液を回収してリンパ液として輸送し、最終的に静脈に合流する。,リンパ節は、リンパ液中の異物を除去する機能を持たない。,リンパ液は、赤血球を大量に含む赤色の液体である。,リンパ管は心臓に直接接続しており、心臓のポンプ作用で流れる。,リンパ系は、免疫とは全く関係しない。,1,正答は1。リンパ管は組織間隙の組織液（リンパ液）を回収し、リンパ節を経由しながら最終的に鎖骨下静脈に合流して血液に戻す機能を担っており、(1)の記述は正しい。(2)リンパ節は免疫細胞が集積し異物・細菌等を除去するフィルター機能を持つ、(3)リンパ液は淡黄色透明の液体。,正答は1。リンパ管は組織間隙の組織液（リンパ液）を回収し、リンパ節を経由しながら最終的に鎖骨下静脈に合流して血液に戻す機能を担っており、(1)の記述は正しい。(2)リンパ節は免疫細胞が集積し異物・細菌等を除去するフィルター機能を持つ、(3)リンパ液は淡黄色透明の液体。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） リンパ管は組織間隙の組織液（リンパ液）を回収し、リンパ節を経由しながら最終的に鎖骨下静脈に合流して血液に戻す機能を担っており、(1)の記述は正しい。,2:（2）リンパ節は免疫細胞が集積し異物・細菌等を除去するフィルター機能を持つ;3:（3）「リンパ液は、赤血球を大量に含む赤色の液体である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「リンパ管は、組織液を回収してリンパ液として輸送し、最終的に静脈に合流する。」です。問題文の条件（リンパ系に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）の内容は、正答（1）「リンパ管は、組織液を回収してリンパ液として輸送し、最終的に静脈に合流する。」が示す論点とずれています。 解説の要点：正答は1。リンパ管は組織間隙の組織液（リンパ液）を回収し、リンパ節を経由しながら最終的に鎖骨下静脈に合流して血液に戻す機能を担っており、(1)の記述は正しい。(2)リンパ節は免疫細胞が集積し異物・細菌等を除去するフィルター機能を持つ、(3)リンパ液は淡黄色透明の液体。 正答（1）との違いを確認し直してください。;5:（5）「リンパ系は、免疫とは全く関係しない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「リンパ管は、組織液を回収してリンパ液として輸送し、最終的に静脈に合流する。」です。問題文の条件（リンパ系に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
143,single,労働生理,演習;労働生理,肝臓の機能に関する次の記述のうち、誤っているものはどれか。,,,,,,肝臓は、アンモニアを尿素に変換して無毒化する解毒機能を持つ。,肝臓は、グリコーゲンとしてグルコースを貯蔵し必要に応じて血糖として放出する。,肝臓は、血液凝固因子であるフィブリノーゲン等の蛋白質を合成する。,肝臓は、古くなった赤血球を直接産生して血液中に供給する。,肝臓は、脂溶性薬物等を代謝・解毒し排泄しやすい形に変換する機能を持つ。,4,正答は4。赤血球は骨髄の造血幹細胞から産生されるものであり、肝臓が赤血球を産生するという(4)の記述は誤り。なお肝臓は破壊された古い赤血球のヘモグロビンを分解（ビリルビンとして処理）する機能は持つが、産生はしない。(1)(2)(3)(5)はいずれも肝臓の正しい機能の説明である。,正答は4。赤血球は骨髄の造血幹細胞から産生されるものであり、肝臓が赤血球を産生するという(4)の記述は誤り。なお肝臓は破壊された古い赤血球のヘモグロビンを分解（ビリルビンとして処理）する機能は持つが、産生はしない。(1)(2)(3)(5)はいずれも肝臓の正しい機能の説明である。,（4）の記述は誤り 赤血球は骨髄の造血幹細胞から産生されるものであり、肝臓が赤血球を産生するという(4)の記述は誤り。,1:（1）の内容は、正答（4）「肝臓は、古くなった赤血球を直接産生して血液中に供給する。」が示す論点とずれています。 解説の要点：正答は4。赤血球は骨髄の造血幹細胞から産生されるものであり、肝臓が赤血球を産生するという(4)の記述は誤り。なお肝臓は破壊された古い赤血球のヘモグロビンを分解（ビリルビンとして処理）する機能は持つが、産生はしない。(1)(2)(3)(5)はいずれも肝臓の正しい機能の説明である。 正答（4）との違いを確認し直してください。;2:（2）の内容は、正答（4）「肝臓は、古くなった赤血球を直接産生して血液中に供給する。」が示す論点とずれています。 解説の要点：正答は4。赤血球は骨髄の造血幹細胞から産生されるものであり、肝臓が赤血球を産生するという(4)の記述は誤り。なお肝臓は破壊された古い赤血球のヘモグロビンを分解（ビリルビンとして処理）する機能は持つが、産生はしない。(1)(2)(3)(5)はいずれも肝臓の正しい機能の説明である。 正答（4）との違いを確認し直してください。;3:（3）の内容は、正答（4）「肝臓は、古くなった赤血球を直接産生して血液中に供給する。」が示す論点とずれています。 解説の要点：正答は4。赤血球は骨髄の造血幹細胞から産生されるものであり、肝臓が赤血球を産生するという(4)の記述は誤り。なお肝臓は破壊された古い赤血球のヘモグロビンを分解（ビリルビンとして処理）する機能は持つが、産生はしない。(1)(2)(3)(5)はいずれも肝臓の正しい機能の説明である。 正答（4）との違いを確認し直してください。;5:（5）「肝臓は、脂溶性薬物等を代謝・解毒し排泄しやすい形に変換する機能を持つ。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「肝臓は、古くなった赤血球を直接産生して血液中に供給する。」です。問題文の条件（肝臓の機能に関する次の記述のうち、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
144,single,労働生理,演習;労働生理,体液調節に関する次の記述のうち、正しいものはどれか。,,,,,,体液の量と組成（電解質バランス等）は、主に腎臓・ホルモン等によって調節されている。,体液は、細胞内液のみから構成され、細胞外液は存在しない。,体液の浸透圧調節には、アルドステロン等のホルモンは関与しない。,体内の水分が失われて脱水状態になっても、体液調節機能に支障はない。,体液中のpHは、酸塩基平衡によって調節されず常に変動する。,1,正答は1。体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。(2)体液は細胞内液（約2/3）と細胞外液（約1/3）から構成される。,正答は1。体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。(2)体液は細胞内液（約2/3）と細胞外液（約1/3）から構成される。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。,2:（2）の内容は、正答（1）「体液の量と組成（電解質バランス等）は、主に腎臓・ホルモン等によって調節されている。」が示す論点とずれています。 解説の要点：正答は1。体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。(2)体液は細胞内液（約2/3）と細胞外液（約1/3）から構成される。 正答（1）との違いを確認し直してください。;3:（3）の内容は、正答（1）「体液の量と組成（電解質バランス等）は、主に腎臓・ホルモン等によって調節されている。」が示す論点とずれています。 解説の要点：正答は1。体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。(2)体液は細胞内液（約2/3）と細胞外液（約1/3）から構成される。 正答（1）との違いを確認し直してください。;4:（4）の内容は、正答（1）「体液の量と組成（電解質バランス等）は、主に腎臓・ホルモン等によって調節されている。」が示す論点とずれています。 解説の要点：正答は1。体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。(2)体液は細胞内液（約2/3）と細胞外液（約1/3）から構成される。 正答（1）との違いを確認し直してください。;5:（5）の内容は、正答（1）「体液の量と組成（電解質バランス等）は、主に腎臓・ホルモン等によって調節されている。」が示す論点とずれています。 解説の要点：正答は1。体液の量・組成は腎臓による水分・電解質の再吸収・排泄、抗利尿ホルモン（ADH）・アルドステロン等のホルモンによる複合的な調節機構によって一定に保たれており、(1)の記述は正しい。(2)体液は細胞内液（約2/3）と細胞外液（約1/3）から構成される。 正答（1）との違いを確認し直してください。,
145,single,労働生理,演習;労働生理,記憶と学習に関する次の記述のうち、正しいものはどれか。,,,,,,記憶は、短期記憶と長期記憶に分類されることがあり、海馬等の脳の構造が記憶の形成に関与している。,記憶は大脳ではなく小脳だけで形成される。,睡眠は記憶の定着に影響しない。,繰り返し学習・練習は技能の習得に効果がない。,加齢により記憶力が低下することは医学的に全く根拠がない。,1,正答は1。記憶は短期記憶と長期記憶に分類され、海馬・大脳皮質・扁桃体等の脳の構造が記憶の符号化・保存・想起に関与している。(1)の記述は正しい。(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向がある。,正答は1。記憶は短期記憶と長期記憶に分類され、海馬・大脳皮質・扁桃体等の脳の構造が記憶の符号化・保存・想起に関与している。(1)の記述は正しい。(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向がある。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） (1)の記述は正しい。,2:（2）の内容は、正答（1）「記憶は、短期記憶と長期記憶に分類されることがあり、海馬等の脳の構造が記憶の形成に関与している。」が示す論点とずれています。 解説の要点：正答は1。記憶は短期記憶と長期記憶に分類され、海馬・大脳皮質・扁桃体等の脳の構造が記憶の符号化・保存・想起に関与している。(1)の記述は正しい。(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向が… 正答（1）との違いを確認し直してください。;3:(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向がある。;4:解説では「(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向がある。」とある一方、（4）の記述はそれと矛盾します。 解説の要点：正答は1。記憶は短期記憶と長期記憶に分類され、海馬・大脳皮質・扁桃体等の脳の構造が記憶の符号化・保存・想起に関与している。(1)の記述は正しい。(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向が… 正答（1）との違いを確認し直してください。;5:(3)睡眠中の記憶の固定（定着）が記憶形成に重要であることが知られている、(5)加齢に伴い記憶力（特に新しい情報の学習）は低下する傾向がある。,
146,single,労働生理,演習;労働生理,胃の機能に関する次の記述のうち、正しいものはどれか。,,,,,,胃は、塩酸（胃酸）とペプシノーゲン（ペプシン）を分泌し、蛋白質の消化と殺菌等に関与する。,胃では、脂肪の消化が最も盛んに行われる。,胃液は、アルカリ性であり、膵液と同様の消化作用を持つ。,胃は、すべての栄養素を完全に消化・吸収する唯一の臓器である。,胃から分泌されるガストリンは、胃酸の分泌を抑制する。,1,正答は1。胃は塩酸（強酸性の胃酸）とペプシノーゲン（胃酸によりペプシンに活性化）を分泌し、蛋白質の消化・食物の殺菌等を行う。(1)の記述は正しい。(3)胃液は強酸性（pH1〜2程度）、(5)ガストリンは胃酸分泌を促進するホルモン。,正答は1。胃は塩酸（強酸性の胃酸）とペプシノーゲン（胃酸によりペプシンに活性化）を分泌し、蛋白質の消化・食物の殺菌等を行う。(1)の記述は正しい。(3)胃液は強酸性（pH1〜2程度）、(5)ガストリンは胃酸分泌を促進するホルモン。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） (1)の記述は正しい。,2:（2）の内容は、正答（1）「胃は、塩酸（胃酸）とペプシノーゲン（ペプシン）を分泌し、蛋白質の消化と殺菌等に関与する。」が示す論点とずれています。 解説の要点：正答は1。胃は塩酸（強酸性の胃酸）とペプシノーゲン（胃酸によりペプシンに活性化）を分泌し、蛋白質の消化・食物の殺菌等を行う。(1)の記述は正しい。(3)胃液は強酸性（pH1〜2程度）、(5)ガストリンは胃酸分泌を促進するホルモン。 正答（1）との違いを確認し直してください。;3:(3)胃液は強酸性（pH1〜2程度）、(5)ガストリンは胃酸分泌を促進するホルモン。;4:（4）の内容は、正答（1）「胃は、塩酸（胃酸）とペプシノーゲン（ペプシン）を分泌し、蛋白質の消化と殺菌等に関与する。」が示す論点とずれています。 解説の要点：正答は1。胃は塩酸（強酸性の胃酸）とペプシノーゲン（胃酸によりペプシンに活性化）を分泌し、蛋白質の消化・食物の殺菌等を行う。(1)の記述は正しい。(3)胃液は強酸性（pH1〜2程度）、(5)ガストリンは胃酸分泌を促進するホルモン。 正答（1）との違いを確認し直してください。;5:（5）「胃から分泌されるガストリンは、胃酸の分泌を抑制する。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「胃は、塩酸（胃酸）とペプシノーゲン（ペプシン）を分泌し、蛋白質の消化と殺菌等に関与する。」です。問題文の条件（胃の機能に関する次の記述のうち、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
